이티아이티지교육그룹,무관,"연봉 26,000,000원","스터디룸·독서실·고시원, 사무보조, ",경기 수원시 영통구 반달로 105 (영통동) 영통플라자 3층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60267436&mj_stat=0&optgf=
테트리스 찜닭 흥덕점,무관,"시급 8,000원","일반음식점, ",경기 용인시 기흥구 영덕동 994-7. 103호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60266711&mj_stat=0&optgf=
S바디워크필라테스영통점,무관,"시급 9,000원","전단지배포, ","경기 수원시 영통구 반달로7번길 16 (영통동, e-폴리스) 706호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60266380&mj_stat=0&optgf=
어학원,무관,"시급 10,000원","외국어·어학원, ",경기 수원시 영통구 봉영로 1761 (영통동) 6층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60265936&mj_stat=0&optgf=
트리탑스과학전문학원,무관,"시급 16,000원","입시·보습학원, 교육·강사 기타, 보조교사, ",경기 수원시 영통구 영통동 998-6 아셈프라자 6층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60265783&mj_stat=0&optgf=
엘카스터디,여자,"시급 8,000원","외국어·어학원, 보조교사, 교육·강사 기타, ",경기 수원시 영통구 영통로 507 (영통동) 5층 엘카스터디,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60265194&mj_stat=0&optgf=
아웃백 스테이크하우스 수원 영통점,무관,"시급 9,050원","패밀리레스토랑, ","경기 수원시 영통구 봉영로 1613 (영통동, 영통하우스토리) B1F 아웃백 스테이크 하우스 영통점",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60263737&mj_stat=0&optgf=
카인드짐 망포점,무관,"월급 1,000,000원","피트니스·스포츠, 피트니스 트레이너, 예체능 강사, ","경기 수원시 영통구 영통로 136 (망포동, 센트럴타워) 4층 407호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60263055&mj_stat=0&optgf=
트렌드코리아,남자,"시급 8,000원","포장·품질검사, 쇼핑몰·소셜커머스·홈쇼핑, ",경기 수원시 영통구 망포동 5-27번지 썬테크노빌 건물1층 101호 트렌드코리아,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60262239&mj_stat=0&optgf=
GS25,무관,"시급 7,530원","편의점, 매장관리·판매, ",영통구영통로513 gs25 황골주공점,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60262149&mj_stat=0&optgf=
청년다방영통점,여자,"시급 8,000원","일반음식점, ","경기 수원시 영통구 봉영로 1590 (영통동, 밀레니엄 프라자) 104호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60262013&mj_stat=0&optgf=
